EmployeeNumber,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
462,31,No,Travel_Rarely,Research & Development,7,4,Medical,1,3,Female,Manufacturing Director,4,Single,7143,1,Yes,14,3,3,0,11,2,2,11,9,4,10
463,29,No,Travel_Rarely,Sales,10,1,Marketing,1,4,Female,Sales Executive,2,Divorced,8268,1,Yes,14,3,1,2,7,2,3,7,7,1,7
464,35,No,Travel_Rarely,Research & Development,5,4,Technical Degree,1,3,Male,Manufacturing Director,2,Single,8095,0,No,13,3,4,0,17,5,3,16,6,0,13
465,23,No,Travel_Rarely,Research & Development,26,1,Life Sciences,1,3,Male,Research Scientist,4,Divorced,2904,1,No,12,3,3,2,4,2,2,4,2,0,2
466,41,No,Travel_Rarely,Research & Development,6,3,Medical,1,4,Male,Manufacturing Director,2,Single,6032,6,Yes,15,3,4,0,8,3,3,5,4,1,2
467,47,No,Travel_Frequently,Sales,4,1,Medical,1,2,Male,Sales Representative,3,Single,2976,3,No,19,3,1,0,5,3,3,0,0,0,0
468,42,No,Travel_Rarely,Research & Development,23,5,Life Sciences,1,1,Female,Research Director,4,Single,15992,2,No,14,3,2,0,16,2,3,1,0,0,0
469,29,No,Non-Travel,Sales,2,3,Life Sciences,1,4,Male,Sales Executive,3,Married,4649,1,No,14,3,1,1,4,3,2,4,3,0,2
470,42,No,Travel_Rarely,Human Resources,2,1,Technical Degree,1,3,Male,Human Resources,3,Divorced,2696,0,Yes,11,3,3,1,4,5,3,3,2,1,0
471,32,No,Travel_Rarely,Research & Development,2,3,Medical,1,3,Female,Laboratory Technician,2,Married,2370,1,No,13,3,3,1,8,4,3,8,0,0,7
473,48,No,Travel_Rarely,Sales,29,1,Medical,1,1,Female,Manager,3,Married,12504,3,No,21,4,2,1,15,3,1,0,0,0,0
474,37,No,Travel_Rarely,Research & Development,6,3,Medical,1,3,Male,Research Scientist,1,Divorced,5974,4,Yes,13,3,1,2,13,2,3,7,7,6,7
475,30,No,Non-Travel,Sales,25,2,Technical Degree,1,4,Female,Sales Executive,3,Married,4736,7,Yes,12,3,2,1,4,2,4,2,2,2,2
476,26,No,Travel_Rarely,Sales,1,3,Life Sciences,1,3,Male,Sales Executive,3,Married,5296,1,No,17,3,2,1,8,3,3,8,7,7,7
477,42,No,Travel_Rarely,Research & Development,2,4,Other,1,1,Male,Healthcare Representative,4,Single,6781,3,No,23,4,2,0,14,6,3,1,0,0,0
478,21,Yes,Travel_Frequently,Sales,1,1,Technical Degree,1,1,Female,Sales Representative,2,Single,2174,1,Yes,11,3,3,0,3,3,3,3,2,1,2
479,36,No,Non-Travel,Sales,1,5,Medical,1,4,Female,Sales Executive,4,Single,6653,4,No,15,3,2,0,7,6,3,1,0,0,0
481,36,No,Travel_Frequently,Sales,3,4,Medical,1,1,Male,Sales Executive,4,Married,9699,4,No,11,3,1,1,16,2,3,13,9,1,12
482,57,No,Travel_Rarely,Research & Development,1,4,Medical,1,4,Male,Healthcare Representative,3,Married,6755,2,No,11,3,3,0,15,2,3,3,2,1,2
483,40,No,Travel_Rarely,Research & Development,10,4,Life Sciences,1,4,Female,Laboratory Technician,3,Married,2213,3,Yes,13,3,3,1,10,3,3,7,7,1,7
484,21,No,Non-Travel,Sales,9,2,Medical,1,1,Male,Sales Representative,4,Single,2610,1,No,24,4,3,0,3,3,2,3,2,2,2
485,33,Yes,Travel_Rarely,Sales,5,3,Marketing,1,4,Female,Sales Representative,3,Single,2851,1,Yes,13,3,2,0,1,2,3,1,0,0,0
486,37,No,Travel_Rarely,Research & Development,10,3,Medical,1,3,Female,Laboratory Technician,1,Married,3452,6,No,20,4,2,1,17,3,3,5,4,0,3
487,46,No,Non-Travel,Research & Development,7,4,Medical,1,3,Female,Manufacturing Director,3,Married,5258,2,No,14,3,3,0,7,2,4,1,0,0,0
488,41,Yes,Travel_Frequently,Sales,4,3,Marketing,1,1,Male,Sales Executive,2,Single,9355,1,No,18,3,3,0,8,5,3,8,7,7,7
491,50,No,Travel_Rarely,Research & Development,10,3,Technical Degree,1,4,Male,Healthcare Representative,4,Single,10496,6,No,15,3,4,0,20,2,3,4,3,1,3
492,40,Yes,Travel_Rarely,Sales,22,2,Marketing,1,3,Male,Sales Executive,3,Married,6380,2,Yes,12,3,1,2,8,6,3,6,4,1,0
493,31,No,Travel_Rarely,Research & Development,9,4,Life Sciences,1,3,Male,Research Scientist,2,Single,2657,0,Yes,16,3,4,0,3,5,3,2,2,2,2
494,21,Yes,Travel_Rarely,Sales,12,3,Life Sciences,1,3,Female,Sales Representative,2,Single,2716,1,No,15,3,4,0,1,0,3,1,0,0,0
495,29,No,Travel_Rarely,Research & Development,23,3,Life Sciences,1,4,Male,Research Scientist,4,Single,2201,9,No,16,3,4,0,6,4,3,3,2,1,2
496,35,No,Travel_Rarely,Research & Development,9,4,Life Sciences,1,3,Male,Healthcare Representative,2,Single,6540,9,No,19,3,3,0,10,5,3,1,1,0,0
497,27,No,Travel_Rarely,Research & Development,1,2,Medical,1,4,Male,Laboratory Technician,2,Divorced,3816,1,No,11,3,2,1,5,2,3,5,2,0,4
498,28,No,Travel_Rarely,Sales,9,4,Life Sciences,1,2,Male,Sales Executive,4,Single,5253,1,No,16,3,4,0,7,1,3,7,5,0,7
499,49,No,Travel_Rarely,Research & Development,7,3,Other,1,2,Male,Healthcare Representative,3,Single,10965,8,No,24,4,3,0,26,2,3,5,2,0,0
500,51,No,Travel_Rarely,Sales,14,2,Life Sciences,1,3,Female,Sales Executive,4,Married,4936,4,No,11,3,3,1,18,2,2,7,7,0,7
501,36,No,Travel_Rarely,Research & Development,2,3,Life Sciences,1,4,Female,Research Scientist,3,Married,2543,4,No,13,3,2,1,6,3,3,2,2,2,2
502,34,Yes,Non-Travel,Sales,19,3,Marketing,1,1,Male,Sales Executive,4,Single,5304,8,Yes,13,3,2,0,9,3,2,5,2,0,4
505,55,No,Travel_Rarely,Research & Development,2,3,Life Sciences,1,3,Female,Manager,4,Single,16659,2,Yes,13,3,3,0,30,2,3,5,4,1,2
507,24,No,Travel_Rarely,Sales,10,4,Marketing,1,4,Female,Sales Executive,3,Divorced,4260,1,Yes,12,3,4,1,5,2,4,5,2,0,3
508,30,No,Travel_Rarely,Sales,2,1,Technical Degree,1,3,Male,Sales Representative,2,Married,2476,1,No,18,3,1,1,1,3,3,1,0,0,0
510,26,Yes,Travel_Frequently,Research & Development,3,1,Technical Degree,1,3,Male,Research Scientist,1,Single,3102,0,No,22,4,3,0,7,2,3,6,4,0,4
511,22,No,Travel_Rarely,Research & Development,11,3,Medical,1,1,Female,Research Scientist,2,Married,2244,1,No,13,3,4,1,2,1,3,2,1,1,2
513,36,No,Travel_Rarely,Sales,2,2,Medical,1,2,Male,Sales Executive,3,Married,7596,1,No,13,3,2,2,10,2,3,10,9,9,0
514,30,Yes,Travel_Frequently,Research & Development,4,3,Technical Degree,1,3,Male,Research Scientist,4,Single,2285,9,Yes,23,4,3,0,3,4,3,1,0,0,0
515,37,No,Travel_Rarely,Research & Development,14,3,Life Sciences,1,4,Female,Laboratory Technician,1,Divorced,3034,1,No,12,3,3,1,18,2,2,18,7,12,17
516,40,No,Travel_Rarely,Sales,2,2,Marketing,1,4,Female,Sales Executive,2,Divorced,5715,7,No,12,3,3,2,8,5,3,5,4,1,3
517,42,No,Travel_Rarely,Research & Development,1,4,Life Sciences,1,2,Female,Laboratory Technician,1,Divorced,2576,3,No,16,3,2,1,8,5,3,5,2,1,2
518,37,No,Travel_Rarely,Research & Development,10,4,Life Sciences,1,3,Male,Manufacturing Director,2,Single,4197,2,Yes,12,3,4,0,18,2,2,1,0,0,1
520,43,No,Travel_Rarely,Research & Development,12,3,Life Sciences,1,1,Male,Research Director,2,Divorced,14336,1,No,11,3,3,1,25,3,3,25,10,3,9
521,40,No,Travel_Rarely,Research & Development,2,3,Medical,1,2,Female,Laboratory Technician,3,Married,3448,6,No,22,4,2,1,20,3,3,1,0,0,0
522,54,No,Travel_Rarely,Research & Development,5,2,Medical,1,1,Male,Research Director,1,Married,19406,4,No,11,3,3,1,24,4,2,4,2,1,2
523,34,No,Non-Travel,Sales,4,4,Marketing,1,3,Female,Sales Executive,3,Married,6538,9,No,15,3,1,1,6,3,3,3,2,1,2
524,31,No,Travel_Rarely,Research & Development,7,2,Medical,1,2,Female,Manufacturing Director,1,Married,4306,1,No,12,3,2,1,13,5,1,13,10,3,12
525,43,No,Travel_Frequently,Research & Development,21,3,Medical,1,4,Male,Laboratory Technician,4,Married,2258,7,No,20,4,1,1,8,1,3,3,2,1,2
526,43,No,Travel_Rarely,Research & Development,8,4,Other,1,3,Female,Healthcare Representative,3,Divorced,4522,4,Yes,14,3,4,0,8,3,3,5,2,0,2
527,25,No,Travel_Rarely,Sales,4,2,Life Sciences,1,2,Female,Sales Executive,4,Single,4487,1,Yes,11,3,2,0,5,3,3,5,4,1,3
529,37,No,Non-Travel,Research & Development,25,5,Medical,1,2,Female,Research Scientist,3,Married,4449,3,Yes,15,3,1,2,15,2,3,13,11,10,7
530,31,No,Travel_Rarely,Research & Development,1,2,Life Sciences,1,4,Male,Laboratory Technician,1,Married,2218,1,No,12,3,3,1,4,3,3,4,2,3,2
531,39,No,Travel_Frequently,Research & Development,1,1,Life Sciences,1,2,Male,Manager,3,Divorced,19197,1,Yes,14,3,3,1,21,3,3,21,8,1,6
532,56,No,Travel_Frequently,Sales,6,3,Life Sciences,1,3,Female,Sales Executive,1,Married,13212,9,No,11,3,4,3,36,0,2,7,7,7,7
533,30,No,Travel_Rarely,Sales,12,3,Technical Degree,1,2,Female,Sales Executive,3,Single,6577,0,No,11,3,2,0,6,6,3,5,4,4,4
534,41,No,Travel_Rarely,Sales,1,3,Marketing,1,2,Male,Sales Executive,1,Married,8392,1,No,16,3,3,1,10,2,3,10,7,0,7
536,28,No,Travel_Rarely,Research & Development,17,2,Medical,1,3,Male,Laboratory Technician,1,Divorced,4558,1,No,12,3,4,1,10,2,3,10,0,1,8
538,25,Yes,Travel_Rarely,Research & Development,3,3,Medical,1,1,Male,Laboratory Technician,1,Married,4031,5,No,13,3,3,1,6,5,3,2,2,0,2
543,52,No,Travel_Rarely,Research & Development,3,3,Medical,1,4,Male,Manufacturing Director,3,Married,7969,2,Yes,14,3,3,0,28,4,3,5,4,0,4
544,45,No,Travel_Rarely,Research & Development,10,2,Life Sciences,1,1,Male,Research Scientist,4,Married,2654,3,No,21,4,4,2,8,3,2,2,2,0,2
546,52,No,Travel_Rarely,Research & Development,4,2,Life Sciences,1,4,Female,Manager,4,Married,16555,2,No,13,3,4,0,31,2,1,5,2,1,4
547,42,No,Travel_Frequently,Research & Development,29,2,Life Sciences,1,1,Female,Research Scientist,3,Divorced,4556,2,No,11,3,2,1,19,3,3,5,4,0,2
548,30,No,Travel_Rarely,Research & Development,2,3,Life Sciences,1,3,Female,Manufacturing Director,4,Single,6091,2,No,20,4,3,0,11,2,3,5,4,0,2
549,60,No,Travel_Rarely,Research & Development,7,3,Life Sciences,1,1,Female,Manager,1,Married,19566,5,No,11,3,4,0,33,5,1,29,8,11,10
550,46,No,Travel_Rarely,Research & Development,18,3,Medical,1,3,Female,Manufacturing Director,3,Divorced,4810,2,No,14,3,3,1,19,5,2,10,7,0,8
551,42,No,Travel_Frequently,Research & Development,28,4,Technical Degree,1,4,Female,Healthcare Representative,4,Married,4523,0,No,11,3,4,3,7,4,4,6,5,0,4
554,24,Yes,Travel_Rarely,Sales,1,1,Technical Degree,1,1,Female,Sales Representative,2,Single,3202,1,Yes,16,3,2,0,6,4,3,5,3,1,4
555,34,Yes,Travel_Frequently,Sales,6,2,Marketing,1,4,Female,Sales Representative,3,Divorced,2351,0,No,16,3,4,1,3,3,2,2,2,1,0
556,38,No,Travel_Frequently,Research & Development,2,2,Life Sciences,1,4,Male,Laboratory Technician,4,Married,1702,1,Yes,23,4,3,1,1,3,3,1,0,0,0
558,40,No,Travel_Rarely,Sales,2,4,Life Sciences,1,3,Female,Manager,3,Married,18041,0,No,14,3,4,0,21,2,3,20,15,1,12
560,26,No,Travel_Rarely,Research & Development,23,3,Life Sciences,1,1,Female,Research Scientist,4,Divorced,2886,1,No,22,4,2,2,3,3,1,3,2,0,2
562,30,No,Non-Travel,Research & Development,3,3,Life Sciences,1,3,Male,Laboratory Technician,4,Married,2097,4,No,15,3,3,1,9,3,1,5,3,1,4
564,29,No,Travel_Rarely,Research & Development,3,4,Medical,1,2,Male,Research Director,3,Married,11935,1,No,18,3,3,0,10,2,3,10,2,0,7
565,29,Yes,Travel_Rarely,Research & Development,25,5,Technical Degree,1,3,Female,Research Scientist,2,Married,2546,5,No,16,3,2,0,6,2,4,2,2,1,1
566,19,Yes,Travel_Rarely,Human Resources,2,2,Technical Degree,1,1,Male,Human Resources,4,Single,2564,1,No,12,3,3,0,1,3,4,1,0,0,0
567,30,No,Non-Travel,Sales,22,4,Other,1,3,Female,Sales Executive,1,Married,8412,0,No,11,3,3,0,10,3,3,9,8,7,8
568,57,No,Travel_Rarely,Sales,29,3,Marketing,1,1,Male,Manager,4,Divorced,14118,3,No,12,3,3,1,32,3,2,1,0,0,0
569,50,No,Travel_Rarely,Research & Development,29,4,Life Sciences,1,2,Male,Manager,3,Married,17046,0,No,15,3,2,1,28,2,3,27,10,15,7
571,30,No,Non-Travel,Research & Development,2,3,Medical,1,3,Female,Laboratory Technician,4,Single,2564,0,No,14,3,3,0,12,2,2,11,7,6,7
573,60,No,Travel_Frequently,Sales,28,3,Marketing,1,3,Female,Sales Executive,1,Married,10266,4,No,19,3,4,0,22,5,4,18,13,13,11
574,47,No,Travel_Rarely,Research & Development,2,2,Medical,1,1,Female,Manufacturing Director,4,Divorced,5070,5,No,13,3,3,3,20,2,3,5,0,0,4
575,46,No,Travel_Rarely,Research & Development,2,3,Life Sciences,1,1,Male,Research Director,3,Married,17861,6,No,13,3,3,0,26,2,1,3,2,0,1
577,35,No,Travel_Rarely,Research & Development,22,3,Life Sciences,1,4,Male,Laboratory Technician,3,Single,4230,0,No,15,3,3,0,6,2,3,5,4,4,3
578,54,No,Travel_Rarely,Research & Development,8,4,Life Sciences,1,3,Female,Laboratory Technician,3,Single,3780,7,No,11,3,3,0,19,3,3,1,0,0,0
579,34,No,Travel_Rarely,Research & Development,2,4,Life Sciences,1,4,Male,Research Scientist,3,Divorced,2768,3,No,12,3,3,1,14,3,3,7,3,5,7
580,46,No,Travel_Rarely,Sales,10,3,Marketing,1,3,Female,Sales Executive,4,Married,9071,2,Yes,19,3,3,1,15,3,3,3,2,1,2
581,31,No,Travel_Rarely,Research & Development,9,1,Life Sciences,1,3,Male,Manufacturing Director,2,Divorced,10648,1,No,25,4,4,1,13,6,4,13,8,0,8
582,33,Yes,Travel_Rarely,Research & Development,15,1,Medical,1,2,Male,Manager,3,Married,13610,7,Yes,12,3,4,0,15,2,4,7,6,7,7
584,33,Yes,Travel_Rarely,Research & Development,10,1,Medical,1,1,Male,Laboratory Technician,4,Divorced,3408,7,No,13,3,1,3,8,2,3,4,3,1,3
585,30,No,Travel_Rarely,Sales,7,1,Marketing,1,4,Male,Sales Representative,2,Single,2983,0,No,14,3,1,0,4,3,3,3,2,1,2
586,35,No,Travel_Rarely,Research & Development,16,3,Life Sciences,1,4,Male,Healthcare Representative,3,Married,7632,4,Yes,12,3,3,0,10,2,3,8,7,0,0
587,31,Yes,Travel_Frequently,Research & Development,20,3,Life Sciences,1,1,Male,Healthcare Representative,3,Married,9824,3,No,12,3,1,0,12,2,3,1,0,0,0
590,34,Yes,Travel_Frequently,Human Resources,23,3,Human Resources,1,2,Female,Human Resources,1,Divorced,9950,9,Yes,15,3,3,3,11,2,3,3,2,0,2
591,42,No,Travel_Frequently,Research & Development,5,2,Other,1,2,Male,Laboratory Technician,3,Married,2093,4,No,17,3,4,1,8,4,3,2,2,2,0
592,36,No,Non-Travel,Sales,10,4,Medical,1,2,Male,Sales Executive,4,Single,9980,1,No,14,3,4,0,10,3,2,10,3,9,7
593,22,Yes,Travel_Frequently,Research & Development,4,1,Technical Degree,1,3,Male,Laboratory Technician,3,Single,3894,5,No,16,3,3,0,4,3,3,2,2,1,2
595,48,No,Travel_Rarely,Sales,2,5,Marketing,1,2,Female,Sales Executive,4,Married,4051,2,No,14,3,1,1,14,2,3,9,7,6,7
597,55,No,Travel_Rarely,Sales,18,5,Life Sciences,1,1,Female,Manager,2,Single,16835,3,No,23,4,4,0,37,2,3,10,9,7,7
599,41,No,Non-Travel,Sales,10,2,Life Sciences,1,4,Male,Sales Executive,4,Single,6230,7,No,14,3,4,0,16,3,3,14,3,1,10
600,35,No,Travel_Rarely,Sales,1,3,Marketing,1,2,Male,Sales Executive,3,Married,4717,9,No,11,3,3,0,15,2,3,11,9,6,9
601,40,No,Travel_Rarely,Research & Development,6,3,Life Sciences,1,2,Female,Manufacturing Director,3,Single,13237,7,No,15,3,3,0,22,3,3,20,6,5,13
602,39,No,Travel_Frequently,Research & Development,8,1,Life Sciences,1,3,Female,Laboratory Technician,3,Married,3755,1,No,11,3,1,1,8,3,3,8,3,0,7
604,31,No,Travel_Rarely,Sales,2,1,Life Sciences,1,2,Male,Sales Executive,4,Single,6582,4,Yes,13,3,3,0,10,2,4,6,5,0,5
605,42,No,Travel_Rarely,Research & Development,24,3,Medical,1,4,Male,Manufacturing Director,1,Married,7406,1,Yes,21,4,4,1,10,5,2,10,9,5,8
606,45,No,Travel_Rarely,Sales,2,3,Other,1,4,Male,Sales Executive,2,Married,4805,0,No,19,3,2,1,9,3,4,8,7,3,7
608,26,Yes,Travel_Frequently,Human Resources,17,4,Life Sciences,1,2,Female,Human Resources,3,Divorced,2741,0,Yes,11,3,2,1,8,2,2,7,7,1,0
611,29,No,Travel_Rarely,Research & Development,19,3,Technical Degree,1,4,Male,Manufacturing Director,4,Divorced,4262,4,No,12,3,2,2,8,2,4,3,2,1,2
612,33,No,Travel_Rarely,Research & Development,1,5,Medical,1,1,Female,Research Director,3,Divorced,16184,4,No,19,3,3,1,10,2,3,6,1,0,5
613,31,No,Travel_Rarely,Sales,7,3,Life Sciences,1,3,Male,Manager,4,Divorced,11557,9,No,21,4,3,1,10,3,2,5,4,0,1
614,18,Yes,Travel_Frequently,Sales,5,3,Marketing,1,2,Male,Sales Representative,2,Single,1878,1,Yes,14,3,4,0,0,3,3,0,0,0,0
615,40,No,Non-Travel,Sales,28,3,Other,1,3,Male,Sales Executive,1,Divorced,10932,3,No,15,3,3,1,20,2,3,1,0,0,1
616,41,No,Non-Travel,Research & Development,2,4,Other,1,1,Female,Healthcare Representative,3,Single,6811,2,Yes,17,3,1,0,10,3,3,8,7,0,7
618,26,No,Travel_Rarely,Sales,29,2,Medical,1,1,Male,Sales Executive,3,Divorced,4306,5,No,12,3,1,2,8,5,3,0,0,0,0
620,35,No,Travel_Rarely,Sales,1,3,Medical,1,1,Female,Sales Executive,3,Single,4859,1,No,16,3,4,0,5,3,3,5,4,0,3
621,34,No,Travel_Rarely,Sales,21,4,Life Sciences,1,4,Male,Sales Executive,4,Single,5337,1,No,12,3,4,0,10,3,3,10,7,5,7
622,26,Yes,Travel_Rarely,Research & Development,24,3,Technical Degree,1,3,Male,Laboratory Technician,4,Single,2340,1,Yes,18,3,2,0,1,3,1,1,0,0,0
623,37,No,Travel_Rarely,Research & Development,1,3,Technical Degree,1,2,Female,Manufacturing Director,4,Single,7491,4,No,17,3,4,0,12,3,4,6,5,1,2
624,46,No,Travel_Frequently,Research & Development,18,1,Medical,1,1,Female,Healthcare Representative,3,Married,10527,5,No,11,3,4,0,28,3,2,2,2,1,2
625,41,No,Travel_Rarely,Sales,2,5,Life Sciences,1,2,Female,Manager,1,Married,16595,7,No,16,3,2,1,22,2,3,18,16,11,8
626,37,No,Non-Travel,Sales,9,4,Medical,1,1,Male,Sales Executive,2,Divorced,8834,1,No,13,3,4,1,9,6,3,9,5,7,7
630,52,No,Travel_Rarely,Research & Development,6,2,Technical Degree,1,4,Male,Research Scientist,1,Divorced,5577,3,Yes,12,3,2,2,18,3,3,10,9,6,9
631,32,Yes,Non-Travel,Sales,11,4,Other,1,4,Male,Sales Executive,3,Married,4707,8,No,12,3,4,0,6,2,3,4,2,1,2
632,24,No,Travel_Frequently,Sales,24,3,Medical,1,4,Male,Sales Representative,4,Married,2400,0,No,13,3,3,2,3,3,3,2,2,2,1
634,38,No,Travel_Rarely,Research & Development,10,3,Medical,1,3,Female,Healthcare Representative,3,Married,9824,3,No,19,3,3,1,18,4,3,1,0,0,0
635,37,No,Travel_Rarely,Research & Development,1,4,Life Sciences,1,2,Female,Manufacturing Director,2,Married,6447,6,No,12,3,2,1,8,2,2,6,5,4,3
638,49,No,Travel_Rarely,Research & Development,18,4,Life Sciences,1,4,Male,Research Director,3,Divorced,19502,1,Yes,17,3,3,1,31,5,3,31,9,0,9
639,24,No,Travel_Rarely,Research & Development,23,3,Medical,1,2,Male,Research Scientist,4,Married,2725,1,Yes,11,3,2,2,6,3,3,6,5,1,4
641,26,No,Travel_Rarely,Sales,28,2,Marketing,1,1,Male,Sales Executive,2,Married,6272,1,No,20,4,4,2,6,5,4,5,3,1,4
643,24,No,Travel_Rarely,Research & Development,17,2,Other,1,4,Male,Laboratory Technician,2,Married,2127,1,No,21,4,4,1,1,2,3,1,0,0,0
644,50,No,Travel_Frequently,Human Resources,3,3,Medical,1,1,Male,Manager,2,Married,18200,1,No,11,3,3,1,32,2,3,32,5,10,7
645,25,No,Travel_Rarely,Sales,13,1,Medical,1,2,Male,Sales Representative,3,Married,2096,1,No,11,3,3,0,7,1,3,7,4,0,6
647,24,Yes,Travel_Frequently,Research & Development,7,3,Life Sciences,1,1,Female,Laboratory Technician,3,Married,2886,1,Yes,16,3,4,1,6,4,3,6,3,1,2
648,30,Yes,Travel_Frequently,Sales,12,4,Life Sciences,1,2,Male,Sales Representative,1,Married,2033,1,No,18,3,3,1,1,2,4,1,0,0,0
649,34,No,Travel_Rarely,Research & Development,1,2,Life Sciences,1,2,Male,Research Scientist,4,Married,3622,1,Yes,13,3,4,1,6,3,3,6,5,1,3
650,31,Yes,Travel_Rarely,Sales,13,4,Medical,1,2,Male,Sales Executive,1,Divorced,4233,2,No,17,3,3,0,9,2,1,3,1,1,2
652,35,No,Travel_Rarely,Research & Development,25,2,Other,1,1,Male,Laboratory Technician,4,Single,3681,4,No,14,3,4,0,9,3,3,3,2,0,2
653,31,No,Travel_Rarely,Sales,6,4,Medical,1,1,Male,Sales Executive,4,Divorced,5460,4,No,22,4,4,2,13,4,4,7,7,5,7
655,27,No,Travel_Rarely,Research & Development,6,4,Medical,1,1,Female,Research Scientist,3,Divorced,2187,0,No,12,3,3,2,6,5,2,5,3,0,3
656,37,No,Travel_Rarely,Sales,2,3,Marketing,1,4,Male,Sales Executive,3,Married,9602,4,Yes,11,3,3,1,17,3,2,3,0,1,0
657,20,No,Travel_Rarely,Research & Development,1,3,Life Sciences,1,4,Female,Research Scientist,2,Single,2836,1,No,13,3,4,0,1,0,4,1,0,0,0
659,42,No,Travel_Rarely,Research & Development,2,4,Life Sciences,1,3,Female,Healthcare Representative,4,Married,4089,1,No,13,3,2,2,10,4,3,10,2,2,2
661,43,No,Travel_Rarely,Research & Development,6,4,Other,1,2,Male,Research Director,4,Divorced,16627,4,Yes,14,3,3,1,21,3,2,1,0,0,0
662,38,No,Travel_Rarely,Research & Development,1,1,Life Sciences,1,3,Female,Research Scientist,1,Single,2619,3,No,17,3,4,0,8,3,2,0,0,0,0
663,43,No,Travel_Frequently,Research & Development,9,5,Medical,1,4,Male,Laboratory Technician,3,Divorced,5679,3,Yes,13,3,2,1,10,3,3,8,7,4,7
664,48,No,Travel_Rarely,Research & Development,1,4,Life Sciences,1,4,Female,Manager,1,Married,15402,7,No,11,3,1,1,21,3,1,3,2,0,2
665,44,No,Travel_Rarely,Human Resources,1,4,Life Sciences,1,1,Female,Human Resources,3,Single,5985,4,No,11,3,2,0,10,1,4,2,2,0,2
666,34,No,Travel_Rarely,Sales,14,3,Technical Degree,1,3,Female,Sales Representative,3,Divorced,2579,1,Yes,18,3,4,2,8,3,3,8,2,0,6
667,27,Yes,Travel_Rarely,Sales,2,1,Marketing,1,3,Male,Sales Representative,1,Divorced,3041,0,No,11,3,2,1,5,3,3,4,3,0,2
669,21,No,Travel_Rarely,Sales,22,1,Technical Degree,1,3,Male,Sales Representative,3,Single,3447,1,No,11,3,3,0,3,2,3,3,2,1,2
671,44,No,Travel_Rarely,Research & Development,3,4,Other,1,4,Male,Manager,4,Married,19513,4,Yes,12,3,1,1,26,2,4,2,2,0,1
675,22,No,Travel_Rarely,Research & Development,6,1,Medical,1,1,Male,Research Scientist,3,Married,2773,0,No,20,4,4,0,3,3,3,2,2,2,2
677,33,No,Travel_Rarely,Sales,8,4,Marketing,1,3,Male,Sales Executive,3,Divorced,7104,0,No,12,3,4,0,6,3,3,5,0,1,2
679,32,No,Travel_Rarely,Research & Development,9,4,Life Sciences,1,1,Female,Research Scientist,4,Married,6322,1,Yes,12,3,4,1,6,2,2,6,4,0,5
680,30,No,Travel_Frequently,Research & Development,3,3,Medical,1,3,Female,Research Scientist,3,Divorced,2083,1,No,20,4,3,1,1,2,3,1,0,0,0
682,53,No,Travel_Rarely,Sales,1,1,Medical,1,4,Female,Sales Executive,1,Single,8381,7,No,20,4,4,0,18,2,4,14,7,8,10
683,34,No,Travel_Rarely,Research & Development,1,5,Life Sciences,1,2,Male,Research Scientist,4,Married,2691,1,No,12,3,4,1,10,4,2,10,9,8,8
684,45,Yes,Travel_Frequently,Sales,26,4,Life Sciences,1,1,Female,Sales Executive,1,Married,4286,2,No,14,3,4,2,5,4,3,1,1,0,0
686,26,No,Travel_Rarely,Research & Development,6,3,Life Sciences,1,3,Female,Laboratory Technician,4,Married,2659,1,Yes,13,3,3,1,3,2,3,3,2,0,2
689,37,No,Travel_Rarely,Research & Development,3,3,Other,1,3,Male,Manufacturing Director,3,Married,9434,1,No,15,3,3,1,10,2,3,10,7,7,8
690,29,No,Travel_Rarely,Sales,3,2,Medical,1,2,Female,Sales Executive,3,Married,5561,1,No,14,3,1,1,6,5,2,6,0,1,2
691,35,No,Travel_Rarely,Research & Development,6,4,Life Sciences,1,2,Male,Research Scientist,4,Single,6646,1,No,13,3,2,0,17,3,3,17,11,11,8
692,33,No,Travel_Frequently,Research & Development,6,3,Life Sciences,1,3,Male,Healthcare Representative,4,Divorced,7725,3,No,23,4,3,1,15,2,1,13,11,4,7
698,54,No,Travel_Rarely,Human Resources,19,4,Medical,1,3,Male,Human Resources,2,Married,10725,2,No,15,3,3,1,16,1,4,9,7,7,1
699,36,No,Travel_Rarely,Research & Development,9,2,Medical,1,2,Male,Manufacturing Director,2,Divorced,8847,2,Yes,11,3,3,1,13,2,3,3,2,0,2
700,27,No,Travel_Rarely,Research & Development,3,4,Medical,1,1,Male,Research Scientist,4,Single,2045,0,No,13,3,4,0,5,0,3,4,2,1,1
701,20,Yes,Travel_Rarely,Research & Development,10,1,Medical,1,4,Male,Research Scientist,3,Single,1009,1,Yes,11,3,4,0,1,5,3,1,0,1,1
702,33,Yes,Travel_Frequently,Research & Development,3,3,Life Sciences,1,1,Male,Research Scientist,1,Single,3348,1,Yes,11,3,1,0,10,3,3,10,8,9,7
